Keypoints on Vehicle,,,,,,,,,,
FAST BRIEF,FAST BRISK,FAST ORB,FAST FREAK,FAST AKAZE,FAST SIFT,,,,,
2.079 ms 4.0131 ms,2.237 ms 5.7724 ms,2.1836 ms 5.307 ms,2.2087 ms 55.9553 ms,2.1106 ms 135.887 ms,2.1354 ms 39.9967 ms,,,,,
2.1333 ms 3.3943 ms,2.0608 ms 5.1379 ms,2.0822 ms 5.058 ms,1.9962 ms 55.4142 ms,1.5861 ms 74.1379 ms,2.0247 ms 39.4108 ms,,,,,
1.6545 ms 3.8025 ms,1.6836 ms 3.8876 ms,1.8353 ms 4.8603 ms,1.6166 ms 53.0933 ms,1.6788 ms 74.8997 ms,1.6453 ms 30.2975 ms,,,,,
1.7286 ms 1.0606 ms,1.709 ms 2.8145 ms,1.6956 ms 4.3179 ms,1.6158 ms 41.7297 ms,1.7259 ms 77.794 ms,1.6474 ms 41.2701 ms,,,,,
1.7024 ms 1.3469 ms,1.5662 ms 2.4991 ms,1.6142 ms 4.4609 ms,1.7674 ms 42.0748 ms,1.6162 ms 82.9744 ms,1.6174 ms 36.4408 ms,,,,,
1.698 ms 1.0666 ms,1.6259 ms 2.6705 ms,1.6356 ms 4.1404 ms,1.62 ms 41.8051 ms,1.7141 ms 85.4169 ms,1.6421 ms 35.1862 ms,,,,,
1.6515 ms 0.9812 ms,1.6466 ms 2.7375 ms,1.636 ms 4.596 ms,1.6627 ms 42.1713 ms,1.6018 ms 89.5416 ms,1.6507 ms 34.7544 ms,,,,,
1.6255 ms 1.0551 ms,1.633 ms 2.5616 ms,1.6432 ms 4.1369 ms,1.6715 ms 42.4976 ms,1.7069 ms 90.4104 ms,1.6619 ms 35.0157 ms,,,,,
1.7848 ms 1.0142 ms,1.6521 ms 2.5809 ms,1.6706 ms 4.2132 ms,1.6636 ms 42.3098 ms,1.7647 ms 89.5648 ms,1.6782 ms 35.4194 ms,,,,,
1.7076 ms 1.1152 ms,1.6671 ms 2.7183 ms,1.6756 ms 4.148 ms,1.6611 ms 41.6749 ms,1.6576 ms 90.8938 ms,1.774 ms 35.2206 ms,,,,,
SIFT BRIEF,SIFT BRISK,SIFT ORB,SIFT FREAK,SIFT AKAZE,SIFT SIFT,,,,,
265.894 ms 0.8534 ms,264.029 ms 1.9096 ms,out of memory,258.657 ms 41.2712 ms,257.845 ms 85.2166 ms,258.017 ms 139.948 ms,,,,,
191.01 ms 0.7185 ms,218.811 ms 2.381 ms,,220.872 ms 41.6593 ms,168.987 ms 63.7936 ms,154.139 ms 78.7501 ms,,,,,
189.449 ms 0.7206 ms,183.68 ms 1.657 ms,,191.947 ms 53.0844 ms,186.547 ms 70.9241 ms,182.636 ms 72.8311 ms,,,,,
189.946 ms 0.7315 ms,186.183 ms 1.7719 ms,,188.692 ms 52.6202 ms,180.49 ms 95.7181 ms,105.137 ms 72.0051 ms,,,,,
187.32 ms 1.0128 ms,186.269 ms 1.7617 ms,,176.513 ms 52.5864 ms,180.346 ms 68.3181 ms,94.9743 ms 72.2232 ms,,,,,
184.769 ms 0.721 ms,190.399 ms 1.7967 ms,,179.232 ms 51.2528 ms,182.978 ms 69.1644 ms,95.7821 ms 73.0652 ms,,,,,
